gvkey,iid,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
1078,01,3,19640331,,S&P 500 Comp-Ltd,I0003,ABBOTT LABORATORIES,ABT,002824100,1800.0,2834.0,325412.0
1300,01,3,19640331,,S&P 500 Comp-Ltd,I0003,HONEYWELL INTERNATIONAL INC,HON,438516106,773840.0,9997.0,336413.0
1440,01,3,19640331,,S&P 500 Comp-Ltd,I0003,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911.0,2211.0
2285,01,3,19640331,,S&P 500 Comp-Ltd,I0003,BOEING CO,BA,097023105,12927.0,3721.0,336411.0
2403,01,3,19640331,,S&P 500 Comp-Ltd,I0003,BRISTOL-MYERS SQUIBB CO,BMY,110122108,14272.0,2834.0,325412.0
2663,01,3,19640331,,S&P 500 Comp-Ltd,I0003,CAMPBELL SOUP CO,CPB,134429109,16732.0,2030.0,311422.0
2817,01,3,19640331,,S&P 500 Comp-Ltd,I0003,CATERPILLAR INC,CAT,149123101,18230.0,3531.0,333120.0
2991,01,3,19640331,,S&P 500 Comp-Ltd,I0003,CHEVRON CORP,CVX,166764100,93410.0,2911.0,324110.0
3144,01,3,19640331,,S&P 500 Comp-Ltd,I0003,COCA-COLA CO,KO,191216100,21344.0,2086.0,312111.0
3170,01,3,19640331,,S&P 500 Comp-Ltd,I0003,COLGATE-PALMOLIVE CO,CL,194162103,21665.0,2844.0,325620.0
3413,01,3,19640331,,S&P 500 Comp-Ltd,I0003,CONSOLIDATED EDISON INC,ED,209115104,1047862.0,4931.0,22111.0
3532,01,3,19640331,,S&P 500 Comp-Ltd,I0003,CORNING INC,GLW,219350105,24741.0,3679.0,334419.0
3835,01,3,19640331,,S&P 500 Comp-Ltd,I0003,DEERE & CO,DE,244199105,315189.0,3523.0,333111.0
3897,01,3,19640331,,S&P 500 Comp-Ltd,I0003,DTE ENERGY CO,DTE,233331107,936340.0,4931.0,2211.0
4029,01,3,19640331,,S&P 500 Comp-Ltd,I0003,DOMINION ENERGY INC,D,25746U109,715957.0,4911.0,22111.0
4060,01,3,19640331,,S&P 500 Comp-Ltd,I0003,DOWDUPONT INC,DWDP,26078J100,1666700.0,2821.0,325211.0
4199,01,3,19640331,,S&P 500 Comp-Ltd,I0003,EATON CORP PLC,ETN,G29183103,1551182.0,3620.0,335314.0
4503,01,3,19640331,,S&P 500 Comp-Ltd,I0003,EXXON MOBIL CORP,XOM,30231G102,34088.0,2911.0,324110.0
4839,01,3,19640331,,S&P 500 Comp-Ltd,I0003,FORD MOTOR CO,F,345370860,37996.0,3711.0,33611.0
5046,01,3,19640331,,S&P 500 Comp-Ltd,I0003,GENERAL DYNAMICS CORP,GD,369550108,40533.0,3721.0,336411.0
5047,01,3,19640331,,S&P 500 Comp-Ltd,I0003,GENERAL ELECTRIC CO,GE,369604103,40545.0,9997.0,999977.0
5234,01,3,19640331,,S&P 500 Comp-Ltd,I0003,GOODYEAR TIRE & RUBBER CO,GT,382550101,42582.0,3011.0,326211.0
5439,01,3,19640331,,S&P 500 Comp-Ltd,I0003,HALLIBURTON CO,HAL,406216101,45012.0,1389.0,213112.0
5597,01,3,19640331,,S&P 500 Comp-Ltd,I0003,HERSHEY CO,HSY,427866108,47111.0,2060.0,311351.0
6066,01,3,19640331,,S&P 500 Comp-Ltd,I0003,INTL BUSINESS MACHINES CORP,IBM,459200101,51143.0,7370.0,519130.0
6104,01,3,19640331,,S&P 500 Comp-Ltd,I0003,INTL PAPER CO,IP,460146103,51434.0,2631.0,322130.0
6375,01,3,19640331,,S&P 500 Comp-Ltd,I0003,KELLOGG CO,K,487836108,55067.0,2040.0,311230.0
6435,01,3,19640331,,S&P 500 Comp-Ltd,I0003,KIMBERLY-CLARK CORP,KMB,494368103,55785.0,2621.0,322121.0
6502,01,3,19640331,,S&P 500 Comp-Ltd,I0003,KROGER CO,KR,501044101,56873.0,5411.0,445110.0
7163,01,3,19640331,,S&P 500 Comp-Ltd,I0003,S&P GLOBAL INC,SPGI,78409V104,64040.0,7323.0,561450.0
7241,01,3,19640331,,S&P 500 Comp-Ltd,I0003,CVS HEALTH CORP,CVS,126650100,64803.0,5912.0,446110.0
7257,01,3,19640331,,S&P 500 Comp-Ltd,I0003,MERCK & CO,MRK,58933Y105,310158.0,2834.0,325412.0
7366,01,3,19640331,,S&P 500 Comp-Ltd,I0003,ENTERGY CORP,ETR,29364G103,65984.0,4911.0,22111.0
7435,01,3,19640331,,S&P 500 Comp-Ltd,I0003,3M CO,MMM,88579Y101,66740.0,2670.0,322220.0
7585,01,3,19640331,,S&P 500 Comp-Ltd,I0003,MOTOROLA SOLUTIONS INC,MSI,620076307,68505.0,3663.0,334220.0
7923,01,3,19640331,,S&P 500 Comp-Ltd,I0003,NORFOLK SOUTHERN CORP,NSC,655844108,702165.0,4011.0,482111.0
7977,01,3,19640331,,S&P 500 Comp-Ltd,I0003,XCEL ENERGY INC,XEL,98389B100,72903.0,4931.0,2211.0
8099,01,3,19640331,,S&P 500 Comp-Ltd,I0003,FIRSTENERGY CORP,FE,337932107,1031296.0,4911.0,22111.0
8247,01,3,19640331,,S&P 500 Comp-Ltd,I0003,PPG INDUSTRIES INC,PPG,693506107,79879.0,2851.0,325510.0
8264,01,3,19640331,,S&P 500 Comp-Ltd,I0003,PG&E CORP,PCG,69331C108,1004980.0,4931.0,2211.0
8272,01,3,19640331,,S&P 500 Comp-Ltd,I0003,SEMPRA ENERGY,SRE,816851109,1032208.0,4931.0,22111.0
8479,01,3,19640331,,S&P 500 Comp-Ltd,I0003,PEPSICO INC,PEP,713448108,77476.0,2080.0,311919.0
8530,01,3,19640331,,S&P 500 Comp-Ltd,I0003,PFIZER INC,PFE,717081103,78003.0,2834.0,325412.0
8539,01,3,19640331,,S&P 500 Comp-Ltd,I0003,EXELON CORP,EXC,30161N101,1109357.0,4911.0,22111.0
8543,01,3,19640331,,S&P 500 Comp-Ltd,I0003,ALTRIA GROUP INC,MO,02209S103,764180.0,2111.0,312230.0
8549,01,3,19640331,,S&P 500 Comp-Ltd,I0003,CONOCOPHILLIPS,COP,20825C104,1163165.0,1311.0,211111.0
8762,01,3,19640331,,S&P 500 Comp-Ltd,I0003,PROCTER & GAMBLE CO,PG,742718109,80424.0,2840.0,325611.0
8810,01,3,19640331,,S&P 500 Comp-Ltd,I0003,PUBLIC SERVICE ENTRP GRP INC,PEG,744573106,788784.0,4931.0,22111.0
8972,01,3,19640331,,S&P 500 Comp-Ltd,I0003,RAYTHEON CO,RTN,755111507,1047122.0,3812.0,334511.0
9203,01,3,19640331,,S&P 500 Comp-Ltd,I0003,ROCKWELL AUTOMATION,ROK,773903109,1024478.0,3620.0,335314.0
